com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"239","239","ايمان فارما للأدوية","EMAN PHARM FOR DRUGS TRADING","","","","1","","","",""
"240","240","كريستيان ديور","CHRISTIAN DIOR","","","","1","","","",""
"241","241","سمريست","SOMERESET","","","","1","","","",""
"242","242","تترا","TETRA","","","","1","","","",""
"243","243","مديمبكس","MEDIMBEX","","","","1","","","1","20/09/2007 11:17:51 am"
"244","244","فرزن","FRESEN","","","","1","","","",""
"245","245","أيه أم دي","AMD","","","","1","","","",""
"246","246","امريو","EMRIO","","","","1","","","",""
"247","247","بربريشن","PREPARATION","","","","1","","","",""
"248","248","سانكوين سي أل بي","SANQUIN CLB","","","","1","","","",""
"249","249","لمسة","LAMSA","","","","1","","","",""
"250","250","الاسراء","AL ESRAA","","","","1","","","1","20/09/2007 1:30:02 pm"
"251","251","ريمان","REMAN","","","","1","","","1","08/12/2007 4:57:36 pm"
"252","252","دومس","DOMES","","","","1","","","",""
"253","253","برورينال","PRO RENAL","","","","1","","","",""
"254","254","فارما أنترناشيونال","PHARMA INTERNATIONAL","","","","1","","","",""
"255","255","توربت","TORBET","","","","1","","","",""
"256","256","نوفا","NOVA","","","","1","","","",""
"257","257","ميلبروزين","MELBROSIN INTERATION","","","","1","","","",""
"258","258","سينث لاب","SYNTHELABE","","","","1","","","",""
"259","259","ديلاجرانج","DELAGRANGE","","","","1","","","",""
"260","260","تيلوتس","TILLOTTS","","","","1","","","",""
"261","261","تايجين","TEIJIN","","","","1","","","",""
"262","262","ميديكال جايد","INTERNATIONAL MEDICAL GUIDE","","","","1","","","",""
"263","263","فارما جرين","PHARMA GREEN","","","","1","","","",""
"264","264","ميرج","MERGE","","","","1","","","",""
"265","265","البافارم","ALBAPHARM","","","","1","","","",""
"266","266","كولجيت","COLGATE","","","","1","","","",""
"267","267","تاكو","TAKO","","","","1","","","",""
"268","268","ال جي","L G","","","","1","","","1","18/09/2007 7:09:03 pm"
"269","269","بيفيرلي هيلز","BEVERLY HILLS","","","","1","","","",""
"270","270","بولجاري","BULGARI","","","","1","","","",""
"271","271","كارولينا هيريرا","CAROLINA HERRERA","","","","1","","","",""
"272","272","ليك سلوفينيا","LEK SLOVENIA","","","","1","","","",""
"273","273","انتونيو بيج","ANTONIO PUIG","","","","1","","","",""
"274","274","جورجيو ارماني","GIORGIO ARMANI","","","","1","","","",""
"275","275","فان كليف & اربيل","VAN  CLEEF &ARPLES","","","","1","","","",""
"276","276","اسكادا","ESCADA","","","","1","","","",""
"277","277","نينا ريتشي","NINA RICCI","","","","1","","","",""
"278","278","ليو فارماسوتيكال","LEO PHARMACEUTICAL","","","","1","","","",""
"279","279","مارينا بوربون","MARINA BOURBON","","","","1","","","",""
"280","280","بورجوا","BOURJOIS","","","","1","","","",""
"281","281","سوفاج","SAUVAGE","","","","1","","","",""
"282","282","سويس ارمي","SWISS ARMY","","","","1","","","",""
"283","283","ايكيت","EQUITE","","","","1","","","",""
"284","284","دولشي &جابانا","DOLCE & GABBANA","","","","1","","","",""
"285","285","نيكوس","NIKOS","","","","1","","","",""
"286","286","شوبارد","CHOPARD","","","","1","","","",""
"287","287","باكو رابان","PACO RABANNE","","","","1","","","",""
"288","288","ايف سانت لوران","YVE SAINT LAURENT","","","","1","","","1","08/12/2007 4:52:44 pm"
"289","289","كينزو","KENZO","","","","1","","","",""
"290","290","ستايل","STYLE","","","","1","","","",""
"291","291","بيل ميرا","BELLMIRA","","","","1","","","",""
"292","292","كلارينز","CLARINS","","","","1","","","",""
"293","293","كليرول","CLAIROL","","","","1","","","",""
"294","294","جوتشي","GUCCI","","","","1","","","",""
"295","295","كالفين كلاين","CALVIN KLEIN","","","","1","","","",""
"296","296","مويست ايجبت","MOISTEGYPT","","","","1","","","",""
"297","297","كيراستاس","KERASTASE","","","","1","","","",""
"298","298","سيتر شاين","CITRE SHINE","","","","1","","","",""
"299","299","ثيكر &فوللر","THICKER FULLER","","","","1","","","",""
"300","300","زيرو فريز","ZERO FRIZZ","","","","1","","","",""
"301","301","ماد","MUD","","","","1","","","",""
"302","302","ميلك & هوني","MILLK& HONEY","","","","1","","","",""
"303","303","داين","DIN","","","","1","","","1","08/12/2007 4:34:38 pm"
"304","304","جينرال","GENERAL","","","","1","","","",""
"305","305","ريكلان","RICLAN","","","","1","","","",""
"306","306","ستاندال","STANDHAL","","","","1","","","",""
"307","307","رالف لوران","RALPH LAUREN","","","","1","","","",""
"308","308","بالوما بيكاسو","PALOMA PICASSO","","","","1","","","",""
"309","309","ساندرا","SANDRA","","","","1","","","",""
"310","310","اكس","AXE","","","","1","","","",""
"311","311","امبالس","IMPULSE","","","","1","","","",""
